First name,last name,Email,Phone number,address1,address2,address3,address4,address5
Elias,Jepsen,EliasNJepsen@rhyta.com,61844591,Tværgyden 55||8765 Klovborg,Hans Schacksvej 88||6900 Skjern,,,
Valdemar,Thorsen,ValdemarSThorsen@einrot.com,53847740,Vejlebæksvej 55||6950 Ringkøbing,Erhvervsvangen 90||8970 Havndal,,,
Morten,Svendsen,MortenRSvendsen@superrito.com,27177727,Tarupvej 42||7470 Karup J,Tværgyden 28||8420 Knebel,,,
Valdemar,Bertelsen,ValdemarABertelsen@jourrapide.com,81337104,Mellemvej 30||9220 Aalborg Øst,Havnegade 82||9970 Strandby,,,
Kasper,Madsen,KasperLMadsen@dayrep.com,81786429,Strandalléen 25||7730 Hanstholm,Rynkebyvej 10||7752 Snedsted,,,
Laura,Vestergaard,LauraDVestergaard@einrot.com,51909492,Tværgyden 15||9270 Klarup,Havnegade 80||9530 Støvring,Rynkebyvej 46||7752 Snedsted,Havnegade 41||9530 Støvring,
Daniel,Jørgensen,DanielHJorgensen@armyspy.com,51822549,Hyrdevej 9||9610 Nørager,Borgmester Hansensvej 34||9940 Læsø,Søndre Havnevej 50||7755 Bedsted Thy,,
Peter,Vestergaard,PeterDVestergaard@jourrapide.com,21852079,Algade 57||9370 Hals,Muusgården 24||9300 Sæby,Plouggårdsvej 85||7960 Karby,Møllevænget 54||9430 Vadum,
Bertram,Klausen,BertramJKlausen@einrot.com,42382145,Slåenhaven 12||7770 Vestervig,Jomfrustien 54||9352 Dybvad,Hyrdevej 32||9610 Nørager,,
Line,Jespersen,LineOJespersen@fleckens.hu,30896387,Lykkesholmvej 45||9631 Gedsted,Strandalléen 58||7730 Hanstholm,Mellemvej 63||9210 Aalborg SØ,,
Kasper,Jepsen,KasperEJepsen@gustr.com,24863340,Søndergade 58||9700 Brønderslev,Ladbyvej 26||9490 Pandrup,Rynkebyvej 59||7752 Snedsted,,
Cecilie,Carlsen,CecilieNCarlsen@rhyta.com,42104336,Skibbroen 39||9620 Aalestrup,Margrethes Plads 1||9670 Løgstør,Mellemvej 17||9200 Aalborg SV,Mellemstræde 5||9760 Vrå,Mellemvej 48||9200 Aalborg SV
Marcus,Jakobsen,MarcusMJakobsen@armyspy.com,41239587,Odensevej 25||7884 Fur,Plouggårdsvej 12||7960 Karby,Vejlebæksvej 2||9681 Ranum,,
Mathias,Jeppesen,MathiasRJeppesen@einrot.com,20706414,Gartnervænget 7||9310 Vodskov,Mellemvej 66||9029 Aalborg,Kongshøj Allé 26||9293 Kongerslev,Strandalléen 46||7730 Hanstholm,
Pernille,Nissen,PernilleENissen@fleckens.hu,31839166,Tværgyden 55||9270 Klarup,Torpegårdsvej 24||9981 Jerup,Svinget 94||9632 Møldrup,Odensevej 44||7741 Frøstrup,
Karla,Nygaard,KarlaMNygaard@superrito.com,30932506,Søndre Havnekaj 33||9990 Skagen,Søndre Havnekaj 22||9990 Skagen,Havnegade 39||9381 Sulsted,,
Andreas,Hermansen,AndreasTHermansen@jourrapide.com,50893746,Espegyden 70||9800 Hjørring,Albanivej 15||7840 Højslev,Gartnervænget 2||7980 Vils,Tværgyden 99||9270 Klarup,
Maria,Lind,MariaTLind@cuvox.de,20757458,Jomfrustien 85||9330 Dronninglund,Mellemvej 27||9020 Aalborg,Mellemvej 87||9029 Aalborg,Vejlebæksvej 2||7970 Redsted M,
Sara,Jespersen,SaraDJespersen@teleworm.us,23116375,Plouggårdsvej 34||7960 Karby,Hindsholmvej 89||9750 Østervrå,Havnegade 5||9970 Strandby,,
Tilde,Møller,TildeAMoller@gustr.com,81469876,Hindsholmvej 14||7990 Øster Assels,Stokløkken 78||9690 Fjerritslev,Borgmester Hansensvej 8||9940 Læsø,Vesterskovvej 29||9382 Tylstrup,
Frida,Mathiesen,FridaAMathiesen@jourrapide.com,26727577,Brogade 74||7950 Erslev,Mellemvej 4||9200 Aalborg SV,Hovbanken 3||7700 Thisted,Rynkebyvej 5||7752 Snedsted,
Line,Frandsen,LineJFrandsen@teleworm.us,30800868,Jomfrustien 86||9330 Dronninglund,Mellemvej 67||9020 Aalborg,Havnegade 17||9530 Støvring,,
William,Madsen,WilliamOMadsen@cuvox.de,22662741,Gartnervænget 96||9310 Vodskov,Søndre Havnekaj 35||9990 Skagen,Strandalléen 75||7730 Hanstholm,,
Jonathan,Petersen,JonathanHPetersen@cuvox.de,28188294,Gartnervænget 73||9310 Vodskov,Dosseringen 69||7850 Stoholm Jylland,Espegyden 8||9850 Hirtshals,,
Alexander,Kjeldsen,AlexanderAKjeldsen@rhyta.com,51734145,Hovbanken 47||7700 Thisted,Albanivej 48||9500 Hobro,Havnegade 20||9530 Støvring,,
Selma,Bak,SelmaWBak@rhyta.com,27751757,Mellemvej 73||9200 Aalborg SV,Brogade 83||7950 Erslev,Torpegårdsvej 45||9981 Jerup,Havnegade 87||9541 Suldrup,
Nicoline,Pedersen,NicolineMPedersen@rhyta.com,61825295,Mellemvej 36||9200 Aalborg SV,Skibbroen 65||9600 Aars,Søndre Havnevej 11||9881 Bindslev,Mellemvej 43||9200 Aalborg SV,Birkevej 12||9493 Saltum
Thomas,Nygaard,ThomasANygaard@superrito.com,24416611,Mellemvej 36||9020 Aalborg,Gammelhavn 1||9982 Ålbæk,Borgmester Hansensvej 58||9940 Læsø,,
Ella,Johnsen,EllaLJohnsen@dayrep.com,26830474,Grønvangen 2||6800 Varde,Skibbroen 69||6753 Agerbæk,Søndre Havnevej 80||6852 Billum,Dosseringen 83||5771 Stenstrup,
Mimir,Christiansen,MimirNChristiansen@rhyta.com,26467528,Hovbanken 2||6360 Tinglev,Brogade 92||6701 Esbjerg,Mølleløkken 9||5100 Odense C,,
Amalie,Gregersen,AmalieEGregersen@dayrep.com,42406346,Vejlebæksvej 1||5750 Ringe,Kilen 21||6823 Ansager,Kongshøj Allé 81||6000 Kolding,,
Silke,Eriksen,SilkePEriksen@teleworm.us,40475578,Jernbanegade 74||6470 Sydals,Algade 36||5683 Haarby,Lille Vibyvej 60||5390 Martofte,,
Johan,Mathiasen,JohanLMathiasen@armyspy.com,60220655,Ladbyvej 46||6855 Outrup,Langeskov-Centret 83||6270 Tønder,Slotsgade 89||6040 Egtved,,
Frederikke,Olsen,FrederikkeGOlsen@gustr.com,20279400,Strandalléen 69||5463 Harndrup,Jernbanegade 9||6880 Tarm,Borgmester Hansensvej 49||5550 Langeskov,Søndre Havnekaj 72||5881 Skårup Fyn,
Natasja,Jespersen,NatasjaMJespersen@armyspy.com,28638716,Brogade 74||5600 Faaborg,Mølleløkken 89||5230 Odense M,,,
Mia,Nilsson,MiaWNilsson@jourrapide.com,25686799,Kongshøj Allé 2||6340 Kruså,Borgmester Hansensvej 91||5772 Kværndrup,Brogade 41||6700 Esbjerg,,
Liv,Larsen,LivALarsen@jourrapide.com,23597118,Vejlebæksvej 70||6760 Ribe,Søndre Havnekaj 36||5485 Skamby,Søndre Havnevej 21||7190 Billund,Kilen 98||6823 Ansager,
Lasse,Steffensen,LasseSSteffensen@einrot.com,81333853,Søndre Havnevej 53||6852 Billum,Clematisvænget 82||5882 Vejstrup,Industrivej 97||7080 Børkop,,
Nicolai,Jepsen,NicolaiSJepsen@rhyta.com,29963687,Mølleløkken 74||5270 Odense N,Askelund 42||6392 Bolderslev,Ladbyvej 55||5883 Oure,Espegyden 89||5874 Hesselager,Strandalléen 49||5463 Harndrup
Bertram,Andreasen,BertramTAndreasen@superrito.com,31604478,Christianslundsvej 1||5854 Gislev,Tarupvej 57||5300 Kerteminde,Dosseringen 37||7140 Stouby,Tarupvej 23||5300 Kerteminde,
Karla,Winther,KarlaTWinther@dayrep.com,26353759,Søndre Havnevej 72||7190 Billund,Marinavejen 68||7183 Randbøl,Kamperhoug 85||6230 Rødekro,,
Line,Clausen,LineOClausen@dayrep.com,61482313,Byvej 46||6720 Fanø,Hyrdevej 66||6430 Nordborg,Odensevej 36||5871 Frørup,,
William,Madsen,WilliamFMadsen@rhyta.com,28592611,Jernbanegade 80||6880 Tarm,Vesterskovvej 5||5540 Ullerslev,Grønvangen 53||7184 Vandel,Søndre Havnevej 70||7150 Barrit,Skibbroen 6||6753 Agerbæk
Gustav,Iversen,GustavEIversen@superrito.com,22422376,Gasværksvej 38||6818 Årre,Stokløkken 5||7007 Fredericia,Møllevangen 42||5330 Munkebo,,
Sofie,Simonsen,SofieKSimonsen@armyspy.com,30845234,Svinget 67||5370 Mesinge,Christianslundsvej 25||5854 Gislev,Fynshovedvej 32||6300 Gråsten,,
Rasmus,Mikkelsen,RasmusMMikkelsen@rhyta.com,21838926,Clematisvænget 58||5762 Vester Skerninge,Clematisvænget 70||5762 Vester Skerninge,Degnehøjvej 46||6093 Sjølund,Christianslundsvej 54||5620 Glamsbjerg,
Marie,Møller,MarieLMoller@einrot.com,61175012,Nyhavn 80||5935 Bagenkop,Skibbroen 4||6753 Agerbæk,Odensevej 31||7321 Gadbjerg,Margrethes Plads 84||6640 Lunderskov,
Sofia,Koch,SofiaVKoch@rhyta.com,20148347,Vejlebæksvej 59||6760 Ribe,Præstegade 35||5800 Nyborg,Hyrdevej 96||5580 Nørre Aaby,,
Elias,Koch,EliasJKoch@teleworm.us,41418367,Industrivej 44||6740 Bramming,Margrethes Plads 24||6240 Løgumkloster,Marinavejen 19||7183 Randbøl,,
Andreas,Møller,AndreasVMoller@rhyta.com,21211175,Møllevænget 77||6580 Vamdrup,Gammel Byvej 45||6854 Henne,Gartnervænget 56||5492 Vissenbjerg,,
Johanne,Ravn,JohanneMRavn@armyspy.com,28876325,Ribelandevej 94||6372 Bylderup-Bov,Kongshøj Allé 77||6000 Kolding,Grønvangen 35||5474 Veflinge,,
Elias,Christiansen,EliasLChristiansen@teleworm.us,53308000,Langeskov-Centret 69||6270 Tønder,Byvej 13||6720 Fanø,Odensevej 7||5871 Frørup,,
Nicoline,Brandt,NicolineMBrandt@jourrapide.com,22830138,Christianslundsvej 30||6752 Glejbjerg,Brogade 44||5600 Faaborg,Borgmester Hansensvej 19||5550 Langeskov,,
Sofia,Hermansen,SofiaMHermansen@fleckens.hu,81950389,Faaborgvej 14||1574 København V,,,,
Mads,Lund,MadsSLund@jourrapide.com,42318754,Hulemosevej 1||4295 Stenlille,,,,
Lea,Jepsen,LeaMJepsen@teleworm.us,61422690,Kongshøjvej 20||1218 København K,,,,
Simone,Vestergaard,SimoneMVestergaard@superrito.com,41634834,Slipager 6||1433 København K,Svinget 39||4735 Mern,Lundsbjergvej 77||1916 Frederiksberg C,,
Bertram,Poulsen,BertramSPoulsen@fleckens.hu,31167212,Skelvænget 28||1409 København K,,,,
Anne-Lise,Lorenzen,Anne-LiseLLorenzen@superrito.com,21156181,Svendborg Landevej 56||1308 København K,,,,
Jonas,Mogensen,JonasKMogensen@superrito.com,22711889,Frørup Byvej 79||1170 København K,,,,
Ella,Frederiksen,EllaAFrederiksen@dayrep.com,61224186,Stenløsegyden 81||1025 København K,,,,
Tilde,Hermansen,TildeLHermansen@dayrep.com,28839359,Lodskovvej 64||1856 Frederiksberg C,Toftvej 41||1207 København K,Bygmestervej 46||1601 København V,,
Stine,Thygesen,StineSThygesen@jourrapide.com,24599485,Strandvej 32||1291 København K,Nymarksgyden 80||2970 Hørsholm,,,
Filippa,Karlsen,FilippaFKarlsen@armyspy.com,24951680,Skolevej 76||1865 Frederiksberg C,,,,
Jasmin,Skov,JasminBSkov@rhyta.com,50793803,Frørupvej 17||1148 København K,,,,
Kasper,Møller,KasperFMoller@gustr.com,81655380,Plouggårdsvej 93||2690 Karlslunde,Kohaven 12||1699 København V,Lundevænget 6||1328 København K,Hulemosevej 64||4780 Stege,Østervoldgade 76||1964 Frederiksberg C
Jakob,Vestergaard,JakobOVestergaard@dayrep.com,50615632,Revninge Bygade 75||2680 Solrød Strand,,,,
Jonas,Kjær,JonasBKjaer@dayrep.com,28690429,Grønlandsgade 94||1784 København V,Jernbanegade 85||2630 Taastrup,Øksendrupvej 46||1321 København K,Strandvej 93||1300 København K,Holmevej 54||1425 København K
Astrid,Jeppesen,AstridMJeppesen@cuvox.de,21226225,Andekæret 23||1662 København V,,,,
Tilde,Jakobsen,TildeTJakobsen@fleckens.hu,23667463,Stokløkken 66||4591 Føllenslev,Skolegade 37||1658 København V,Frørup Byvej 24||1171 København K,Ådalen 82||1900 Frederiksberg C,Pilekrogen 70||1455 København K
Ditte,Kristiansen,DitteNKristiansen@einrot.com,42574747,Nørremarksvej 61||1613 København V,Harevænget 7||1804 Frederiksberg C,Holmevej 60||1421 København K,,
Michael,Clausen,MichaelPClausen@armyspy.com,40621102,Byvej 17||3520 Farum,Egevænget 49||4623 Lille Skensved,Jomfrustien 26||2791 Dragør,,
Andrea,Andresen,AndreaPAndresen@superrito.com,60796921,Strandvej 7||1291 København K,Holmevej 14||1427 København K,Eskelundsvej 50||1553 København V,,
Sarah,Hermansen,SarahSHermansen@jourrapide.com,26457841,Vestergade 31||4600 Køge,Møllevangen 14||4900 Nakskov,Nyborgvej 59||1820 Frederiksberg C,,
Michelle,Brandt,MichelleABrandt@dayrep.com,26159814,Bygmestervej 43||1600 København V,Søndervænget 86||1156 København K,Sludevej 58||1358 København K,,
Laurits,Lund,LauritsTLund@armyspy.com,22403236,Jomfrustien 57||4293 Dianalund,,,,
Michael,Petersen,MichaelSPetersen@cuvox.de,51272231,Nymarksgyden 88||2840 Holte,Møllevænget 19||3500 Værløse,Grønlandsgade 85||1777 København V,,
Martin,Skov,MartinHSkov@gustr.com,25845095,Havnevejen 46||1715 København V,,,,
